sample ID	forward sequence count	reverse sequence count
168_LW0521	70149	70149
169_LW0521	62898	62898
51_LW0521	62539	62539
201_LW0521	62237	62237
137_LW0521	52713	52713
173_LW0521	48525	48525
166_LW0521	48187	48187
84_LW0521	46384	46384
162_LW0521	45974	45974
205_LW0521	44740	44740
53_LW0521	43734	43734
130_LW0521	40189	40189
208_LW0521	39908	39908
167_LW0521	38783	38783
52_LW0521	38433	38433
128_LW0521	33746	33746
40_LW0521	31088	31088
93_LW0521	30596	30596
129_LW0521	30527	30527
90_LW0521	29202	29202
170_LW0521	28991	28991
142_LW0521	28848	28848
209_LW0521	28236	28236
38_LW0521	27162	27162
165_LW0521	26102	26102
210_LW0521	25854	25854
85_LW0521	25036	25036
172_LW0521	22949	22949
131_LW0521	22003	22003
39_LW0521	21906	21906
206_LW0521	20933	20933
138_LW0521	19787	19787
143_LW0521	18977	18977
87_LW0521	17854	17854
140_LW0521	17203	17203
139_LW0521	15509	15509
144_LW0521	14973	14973
91_LW0521	14669	14669
89_LW0521	11401	11401
133_LW0521	5440	5440
59_LW0521	5423	5423
50_LW0521	4914	4914
64_LW0521	4617	4617
cooks-1_LW0521	3843	3843
160_LW0521	3614	3614
153_LW0521	3452	3452
156_LW0521	3298	3298
62_LW0521	3281	3281
107_LW0521	3274	3274
122_LW0521	3272	3272
65_LW0521	3166	3166
54_LW0521	2953	2953
157_LW0521	2951	2951
155_LW0521	2947	2947
154_LW0521	2732	2732
41_LW0521	2658	2658
126_LW0521	2606	2606
163_LW0521	2580	2580
83_LW0521	2559	2559
151_LW0521	2426	2426
117_LW0521	2411	2411
176_LW0521	2371	2371
69_LW0521	2370	2370
179_LW0521	2364	2364
55_LW0521	2352	2352
57_LW0521	2295	2295
175_LW0521	2209	2209
OPU-1_LW0521	2179	2179
56_LW0521	2059	2059
43_LW0521	2020	2020
188_LW0521	1998	1998
105_LW0521	1995	1995
OPU-2_LW0521	1991	1991
121_LW0521	1932	1932
149_LW0521	1927	1927
147_LW0521	1814	1814
35_LW0521	1792	1792
48_LW0521	1764	1764
100_LW0521	1714	1714
145_LW0521	1698	1698
116_LW0521	1608	1608
79_LW0521	1606	1606
178_LW0521	1585	1585
29_LW0521	1580	1580
81_LW0521	1578	1578
202_LW0521	1569	1569
102_LW0521	1556	1556
204_LW0521	1483	1483
180_LW0521	1469	1469
2_LW0521	1407	1407
lter3b_LW0521	1407	1407
115_LW0521	1395	1395
120_LW0521	1348	1348
42_LW0521	1336	1336
71_LW0521	1324	1324
36_LW0521	1284	1284
112_LW0521	1276	1276
187_LW0521	1272	1272
17_LW0521	1253	1253
27_LW0521	1251	1251
114_LW0521	1220	1220
10_LW0521	1219	1219
15_LW0521	1214	1214
108_LW0521	1209	1209
5_LW0521	1174	1174
31_LW0521	1169	1169
101_LW0521	1150	1150
8_LW0521	1146	1146
24_LW0521	1141	1141
113_LW0521	1118	1118
127_LW0521	1116	1116
207_LW0521	1106	1106
103_LW0521	1103	1103
25_LW0521	1094	1094
32_LW0521	1069	1069
60_LW0521	1035	1035
6_LW0521	1035	1035
66_LW0521	1009	1009
106_LW0521	1006	1006
94_LW0521	970	970
119_LW0521	970	970
11_LW0521	960	960
68_LW0521	944	944
26_LW0521	921	921
78_LW0521	919	919
3_LW0521	903	903
16_LW0521	897	897
95_LW0521	890	890
lter6f_LW0521	883	883
98_LW0521	873	873
73_LW0521	855	855
111_LW0521	855	855
77_LW0521	851	851
20_LW0521	830	830
67_LW0521	819	819
30_LW0521	785	785
97_LW0521	774	774
47_LW0521	747	747
72_LW0521	743	743
74_LW0521	738	738
1_LW0521	716	716
76_LW0521	687	687
13_LW0521	677	677
110_LW0521	667	667
21_LW0521	650	650
203_LW0521	577	577
161_LW0521	557	557
lter3f_LW0521	552	552
63_LW0521	541	541
104_LW0521	541	541
96_LW0521	530	530
152_LW0521	524	524
146_LW0521	487	487
109_LW0521	474	474
37_LW0521	464	464
28_LW0521	449	449
58_LW0521	416	416
164_LW0521	414	414
75_LW0521	402	402
19_LW0521	397	397
14_LW0521	370	370
4_LW0521	354	354
158_LW0521	351	351
22_LW0521	346	346
136_LW0521	330	330
9_LW0521	327	327
186_LW0521	307	307
34_LW0521	305	305
118_LW0521	302	302
99_LW0521	285	285
183_LW0521	276	276
182_LW0521	268	268
181_LW0521	267	267
61_LW0521	259	259
150_LW0521	255	255
123_LW0521	245	245
70_LW0521	235	235
184_LW0521	172	172
7_LW0521	169	169
44_LW0521	16	16
200_LW0521	7	7
86_LW0521	4	4
134_LW0521	3	3
45_LW0521	2	2
82_LW0521	2	2
Control_171	2	2
125_LW0521	1	1
46_LW0521	1	1
132_LW0521	1	1
141_LW0521	1	1
80_LW0521	0	0
92_LW0521	0	0
185_LW0521	0	0
159_LW0521	0	0
171_LW0521	0	0
