sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
1	58562	53231	90.9	49533	44974	76.8	43787	74.77
10	60098	55336	92.08	52118	48159	80.13	46983	78.18
100	47224	42312	89.6	39239	34626	73.32	33866	71.71
101	53617	49488	92.3	46409	41773	77.91	40394	75.34
102	58517	53576	91.56	50916	45826	78.31	45160	77.17
103	53540	49326	92.13	45684	39245	73.3	38789	72.45
104	63366	58023	91.57	55626	50275	79.34	49367	77.91
105	55614	51292	92.23	48297	43275	77.81	41690	74.96
106	50277	44603	88.71	41153	35480	70.57	35014	69.64
107	63381	55537	87.62	53590	49245	77.7	46117	72.76
108	54881	51062	93.04	48175	43693	79.61	42314	77.1
109	40113	36499	90.99	33849	29895	74.53	29356	73.18
11	40767	37947	93.08	35456	32540	79.82	31067	76.21
110	39134	34251	87.52	33570	31645	80.86	31632	80.83
111	50674	46817	92.39	43715	39061	77.08	37691	74.38
112	49857	44486	89.23	42059	37563	75.34	36465	73.14
113	49250	44970	91.31	41619	36276	73.66	35739	72.57
114	50986	46830	91.85	44076	40105	78.66	39353	77.18
115	41680	38658	92.75	35979	32436	77.82	31977	76.72
116	52658	48960	92.98	44094	39337	74.7	37927	72.03
117	54890	50786	92.52	47849	43524	79.29	42412	77.27
118	34693	31364	90.4	28278	24757	71.36	24290	70.01
119	47909	43077	89.91	39733	35074	73.21	33900	70.76
120	51439	48086	93.48	44265	39556	76.9	38320	74.5
121	54160	49774	91.9	47638	43361	80.06	42952	79.31
122	82608	74682	90.41	72390	66824	80.89	65426	79.2
123	69200	64319	92.95	60924	55649	80.42	54193	78.31
125	48379	43179	89.25	37913	31200	64.49	30821	63.71
126	68715	63017	91.71	58558	52069	75.78	49681	72.3
127	61672	55189	89.49	51995	46775	75.84	45375	73.57
128	46643	42602	91.34	40359	36618	78.51	35356	75.8
129	54808	49786	90.84	47745	43476	79.32	42037	76.7
13	48847	45720	93.6	43929	40645	83.21	36742	75.22
130	50502	45600	90.29	42779	38502	76.24	37412	74.08
131	44345	37778	85.19	36353	33608	75.79	33261	75.01
132	52014	44174	84.93	41680	37854	72.78	36850	70.85
133	45736	41821	91.44	38143	33642	73.56	32686	71.47
134	61728	54697	88.61	52504	48131	77.97	46966	76.09
136	54682	45652	83.49	42861	37913	69.33	37158	67.95
137	65988	60144	91.14	57574	52842	80.08	51710	78.36
138	57916	52775	91.12	50498	46229	79.82	45109	77.89
139	65854	60560	91.96	58461	54040	82.06	53319	80.97
14	52164	48082	92.17	44674	40934	78.47	40399	77.45
140	59724	54629	91.47	52379	48178	80.67	47505	79.54
141	53835	49314	91.6	46875	43352	80.53	42140	78.28
142	42053	37348	88.81	34409	30450	72.41	29740	70.72
143	45591	40214	88.21	36985	32513	71.31	31549	69.2
144	59742	55360	92.67	52202	47709	79.86	45733	76.55
145	52881	47944	90.66	45901	41831	79.1	41393	78.28
146	47149	41872	88.81	38912	34840	73.89	34012	72.14
147	39224	36407	92.82	34517	31875	81.26	30771	78.45
148	32414	28708	88.57	26223	23479	72.43	22751	70.19
149	41098	37542	91.35	35179	31763	77.29	30544	74.32
15	44163	40026	90.63	38317	35223	79.76	33564	76
150	45198	40841	90.36	37608	33415	73.93	32039	70.89
151	51280	47423	92.48	45333	42112	82.12	40568	79.11
152	54378	50051	92.04	47025	43224	79.49	41396	76.13
153	30366	27783	91.49	26311	24540	80.81	24026	79.12
154	48640	42513	87.4	41291	38261	78.66	37834	77.78
155	47451	41438	87.33	39421	35695	75.22	34512	72.73
156	45980	42603	92.66	40166	36937	80.33	35303	76.78
157	53214	47387	89.05	44790	41039	77.12	40561	76.22
158	59151	51335	86.79	48805	44548	75.31	43229	73.08
159	59909	54890	91.62	52030	48035	80.18	45993	76.77
16	44694	41295	92.39	39081	35696	79.87	34280	76.7
160	44283	38351	86.6	35775	31873	71.98	31360	70.82
161	51085	46339	90.71	44332	40451	79.18	39483	77.29
162	68025	61933	91.04	56744	49749	73.13	49014	72.05
163	36133	33575	92.92	31610	28742	79.55	28040	77.6
164	75395	69864	92.66	67236	61527	81.61	59667	79.14
165	28522	25846	90.62	24300	21445	75.19	21445	75.19
166	54024	48067	88.97	45878	42401	78.49	40946	75.79
167	33449	29555	88.36	26913	23152	69.22	22939	68.58
168	64311	59854	93.07	57899	53569	83.3	51419	79.95
169	62644	56937	90.89	54797	50737	80.99	48807	77.91
17	54335	50391	92.74	47265	43263	79.62	42220	77.7
