sample.id,site.number,lat,long,sample_type,collection_time,collection_date,Phosphate,Nitrite_plus_Nitrate,Ammonia,Observed,Shannon,FaithPD
100_LW0521,100,-17.53432,-149.91013,lagoon_water,12:45,5/19/21,0.14,0.21,0.05,51,3.158632429,10.02891763
102_LW0521,102,-17.52928,-149.91816,lagoon_water,11:21,5/19/21,0.17,0.17,0,38,2.833434434,7.732257357
105_LW0521,105,-17.52007,-149.92062,lagoon_water,10:05,5/19/21,0.15,0.37,1.16,64,3.436855624,13.46287821
107_LW0521,107,-17.51886,-149.91327,lagoon_water,11:29,5/19/21,0.08,0.38,0.12,53,3.085572421,11.02449793
116_LW0521,116,-17.49475,-149.9146,lagoon_water,10:00,5/24/21,0.08,0.28,0.19,43,3.012316546,8.823503039
117_LW0521,117,-17.49065,-149.9111,lagoon_water,10:24,5/24/21,0.12,0.23,0.5,48,3.117720158,9.440167763
121_LW0521,121,-17.48853,-149.89686,lagoon_water,12:08,5/24/21,0.15,0.26,0.49,36,2.908557574,7.08281779
122_LW0521,122,-17.48485,-149.89624,lagoon_water,12:32,5/24/21,0.11,0.21,0.48,72,3.309051234,11.6579241
126_LW0521,126,-17.4918,-149.87949,lagoon_water,15:54,5/24/21,0.06,0.61,0.39,39,3.106138623,7.407886538
128_LW0521,128,-17.48683,-149.8765,lagoon_water,11:18,5/25/21,0.13,0.35,0.59,213,4.625826718,27.03931085
129_LW0521,129,-17.48973,-149.87265,lagoon_water,12:12,5/25/21,0.09,0.19,0.71,104,3.328392923,15.02130147
130_LW0521,130,-17.48467,-149.87422,lagoon_water,11:40,5/25/21,0.14,0.4,0.5,231,4.671457373,25.27019813
131_LW0521,131,-17.4881,-149.86676,lagoon_water,14:50,5/25/21,0.12,0.33,0.49,118,3.904517703,18.2233748
133_LW0521,133,-17.49029,-149.8869,lagoon_water,14:15,5/24/21,0.08,0.36,0.24,109,3.782642724,16.37188263
137_LW0521,137,-17.4838,-149.87981,lagoon_water,10:49,5/25/21,0.12,0.32,0.4,242,4.699767754,28.76311569
138_LW0521,138,-17.4921,-149.87465,lagoon_water,12:35,5/25/21,0.14,0.28,0.63,120,3.819995758,16.86565658
139_LW0521,139,-17.49065,-149.86812,lagoon_water,13:23,5/25/21,0.15,0.34,0.64,132,3.884252866,22.09652873
140_LW0521,140,-17.49716,-149.86264,lagoon_water,13:57,5/25/21,0.13,0.54,0.47,128,4.018543393,20.33005342
142_LW0521,142,-17.49376,-149.85192,lagoon_water,15:15,5/25/21,0.12,0.37,0.5,175,4.321006345,23.61578231
143_LW0521,143,-17.49083,-149.85442,lagoon_water,15:41,5/25/21,0.22,0.54,0.82,173,4.369292831,31.5332963
144_LW0521,144,-17.48895,-149.855,lagoon_water,16:12,5/25/21,0.17,0.39,0.73,103,3.925804876,16.81001522
145_LW0521,145,-17.48967,-149.84942,lagoon_water,12:55,5/26/21,0.17,0.46,1.68,44,3.053728388,9.554196758
147_LW0521,147,-17.48169,-149.84987,lagoon_water,11:44,5/26/21,0.15,0.29,0.62,66,3.601941942,10.32449544
149_LW0521,149,-17.4865,-149.85203,lagoon_water,13:16,5/26/21,0.16,0.46,0.73,64,3.510545794,13.40310033
151_LW0521,151,-17.47822,-149.84236,lagoon_water,11:11,5/26/21,0.13,0.31,0.61,37,2.99120141,8.120252081
153_LW0521,153,-17.47842,-149.83398,lagoon_water,10:17,5/26/21,0.14,0.38,0.64,83,3.868410521,13.23780757
154_LW0521,154,-17.47973,-149.83653,lagoon_water,16:03,5/24/21,0.13,0.35,0.65,68,3.187832578,12.59515693
155_LW0521,155,-17.48487,-149.83479,lagoon_water,15:50,5/24/21,0.14,0.41,0.64,70,3.512619796,12.53627626
156_LW0521,156,-17.48503,-149.83127,lagoon_water,15:35,5/24/21,0.13,0.33,0.17,84,3.588663642,14.77701772
157_LW0521,157,-17.48115,-149.83014,lagoon_water,14:53,5/24/21,0.11,0.18,0.34,62,3.363997429,13.14630143
