"","Observed","Shannon","FaithPD","sample.id","location","site.number","lat","long","sample_type","collection_time","collection_date","Phosphate","Silicate","Nitrite_plus_Nitrate","Ammonia","N.P","Percent_N","Percent_C","Percent_H","C_to_N","evenness"
"100_LW0521",51,3.15863242926674,10.028917628,"100_LW0521","moorea","100",-17.53432,-149.91013,"lagoon_water","12:45","5/19/21",0.14,0.69,0.21,0.05,1.85714285714286,0.74,27.11,3.66,36.73,0.803350078136133
"102_LW0521",38,2.83343443377424,7.732257357,"102_LW0521","moorea","102",-17.52928,-149.91816,"lagoon_water","11:21","5/19/21",0.17,0.72,0.17,0,1,0.6,29.32,4.07,49.02,0.778932596881049
"105_LW0521",64,3.43685562360443,13.462878212,"105_LW0521","moorea","105",-17.52007,-149.92062,"lagoon_water","10:05","5/19/21",0.15,0.75,0.37,1.16,10.2,0.59,29.82,4.18,50.15,0.826389094070909
"107_LW0521",53,3.08557242112508,11.024497933,"107_LW0521","moorea","107",-17.51886,-149.91327,"lagoon_water","11:29","5/19/21",0.08,1.35,0.38,0.12,6.25,0.63,27.46,3.66,43.39,0.777165127479128
"116_LW0521",43,3.01231654616988,8.823503039,"116_LW0521","moorea","116",-17.49475,-149.9146,"lagoon_water","10:00","5/24/21",0.08,0.72,0.28,0.19,5.875,0.71,26.67,3.45,37.64,0.800892389001325
"117_LW0521",48,3.11772015816561,9.440167763,"117_LW0521","moorea","117",-17.49065,-149.9111,"lagoon_water","10:24","5/24/21",0.12,0.84,0.23,0.5,6.08333333333333,0.83,25.05,3.21,30.22,0.805362508787531
"121_LW0521",36,2.90855757373332,7.08281779,"121_LW0521","moorea","121",-17.48853,-149.89686,"lagoon_water","12:08","5/24/21",0.15,0.99,0.26,0.49,5,0.62,28.65,3.74,46.19,0.81164844491834
"122_LW0521",72,3.30905123382993,11.657924095,"122_LW0521","moorea","122",-17.48485,-149.89624,"lagoon_water","12:32","5/24/21",0.11,0.78,0.21,0.48,6.27272727272727,0.69,28.7,3.79,41.3,0.7737455161899
"126_LW0521",39,3.10613862275017,7.407886538,"126_LW0521","moorea","126",-17.4918,-149.87949,"lagoon_water","15:54","5/24/21",0.06,1.74,0.61,0.39,16.6666666666667,0.6,28.33,3.7,46.9,0.847846692038508
"128_LW0521",213,4.62582671786905,27.039310848,"128_LW0521","moorea","128",-17.48683,-149.8765,"lagoon_water","11:18","5/25/21",0.13,0.79,0.35,0.59,7.23076923076923,0.67,27.34,3.45,40.98,0.862819367960513
"129_LW0521",104,3.32839292279912,15.021301471,"129_LW0521","moorea","129",-17.48973,-149.87265,"lagoon_water","12:12","5/25/21",0.09,1.22,0.19,0.71,10,0.63,29.21,3.85,46.09,0.716647886682936
"130_LW0521",231,4.6714573729523,25.270198131,"130_LW0521","moorea","130",-17.48467,-149.87422,"lagoon_water","11:40","5/25/21",0.14,0.79,0.4,0.5,6.42857142857143,0.73,29.49,3.89,40.14,0.858342306934839
"131_LW0521",118,3.90451770347216,18.223374802,"131_LW0521","moorea","131",-17.4881,-149.86676,"lagoon_water","14:50","5/25/21",0.12,1.18,0.33,0.49,6.83333333333333,0.93,29.19,3.83,31.38,0.818439702228163
"133_LW0521",109,3.78264272371258,16.371882627,"133_LW0521","moorea","133",-17.49029,-149.8869,"lagoon_water","14:15","5/24/21",0.08,0.87,0.36,0.24,7.5,0.69,30.36,4.13,43.96,0.806301902709296
"137_LW0521",242,4.69976775437938,28.763115693,"137_LW0521","moorea","137",-17.4838,-149.87981,"lagoon_water","10:49","5/25/21",0.12,0.78,0.32,0.4,6,0.75,27.7,3.61,36.71,0.856225373442179
"138_LW0521",120,3.81999575777071,16.865656577,"138_LW0521","moorea","138",-17.4921,-149.87465,"lagoon_water","12:35","5/25/21",0.14,0.99,0.28,0.63,6.5,0.62,30.91,4.38,50.25,0.797911717243168
"139_LW0521",132,3.88425286621462,22.096528725,"139_LW0521","moorea","139",-17.49065,-149.86812,"lagoon_water","13:23","5/25/21",0.15,1.11,0.34,0.64,6.53333333333333,0.57,28.03,3.72,49.54,0.795496710248933
"140_LW0521",128,4.01854339331918,20.330053415,"140_LW0521","moorea","140",-17.49716,-149.86264,"lagoon_water","13:57","5/25/21",0.13,1.6,0.54,0.47,7.76923076923077,0.74,28.51,3.76,38.33,0.828218946448385
"142_LW0521",175,4.32100634530518,23.615782314,"142_LW0521","moorea","142",-17.49376,-149.85192,"lagoon_water","15:15","5/25/21",0.12,0.84,0.37,0.5,7.25,0.55,26.91,3.48,48.7,0.836628345709098
"143_LW0521",173,4.36929283130005,31.533296296,"143_LW0521","moorea","143",-17.49083,-149.85442,"lagoon_water","15:41","5/25/21",0.22,1.12,0.54,0.82,6.18181818181818,0.84,27.99,3.58,33.21,0.847864467045719
"144_LW0521",103,3.92580487617012,16.810015221,"144_LW0521","moorea","144",-17.48895,-149.855,"lagoon_water","16:12","5/25/21",0.17,1.29,0.39,0.73,6.58823529411765,0.6,29.83,4.04,49.65,0.847040870381009
"145_LW0521",44,3.05372838779038,9.554196758,"145_LW0521","moorea","145",-17.48967,-149.84942,"lagoon_water","12:55","5/26/21",0.17,1.26,0.46,1.68,12.5882352941176,0.72,28.06,3.62,38.93,0.806970232257746
"147_LW0521",66,3.6019419422651,10.324495439,"147_LW0521","moorea","147",-17.48169,-149.84987,"lagoon_water","11:44","5/26/21",0.15,0.94,0.29,0.62,6.06666666666667,0.7,29.24,3.77,41.81,0.859722856428721
"149_LW0521",64,3.51054579359267,13.403100331,"149_LW0521","moorea","149",-17.4865,-149.85203,"lagoon_water","13:16","5/26/21",0.16,0.94,0.46,0.73,7.4375,0.58,29.08,3.81,50.04,0.844107834538292
"151_LW0521",37,2.99120140968357,8.120252081,"151_LW0521","moorea","151",-17.47822,-149.84236,"lagoon_water","11:11","5/26/21",0.13,0.9,0.31,0.61,7.07692307692308,0.74,28.62,3.66,38.49,0.828377017159372
"153_LW0521",83,3.86841052113114,13.237807565,"153_LW0521","moorea","153",-17.47842,-149.83398,"lagoon_water","10:17","5/26/21",0.14,0.93,0.38,0.64,7.28571428571429,0.7,27.16,3.47,38.71,0.87543563221215
"154_LW0521",68,3.18783257825748,12.595156928,"154_LW0521","moorea","154",-17.47973,-149.83653,"lagoon_water","16:03","5/24/21",0.13,0.93,0.35,0.65,7.69230769230769,0.5,27.92,3.7,55.56,0.755498698188638
"155_LW0521",70,3.51261979556829,12.536276259,"155_LW0521","moorea","155",-17.48487,-149.83479,"lagoon_water","15:50","5/24/21",0.14,0.94,0.41,0.64,7.5,0.57,28.93,3.89,50.43,0.826791509803809
"156_LW0521",84,3.58866364248238,14.777017717,"156_LW0521","moorea","156",-17.48503,-149.83127,"lagoon_water","15:35","5/24/21",0.13,0.9,0.33,0.17,3.84615384615385,0.7,28.01,3.63,40.03,0.809932751771462
"157_LW0521",62,3.36399742899565,13.146301426,"157_LW0521","moorea","157",-17.48115,-149.83014,"lagoon_water","14:53","5/24/21",0.11,1.13,0.18,0.34,4.72727272727273,0.53,27.09,3.62,50.95,0.815092777493576
"160_LW0521",79,3.67509978682816,13.004001943,"160_LW0521","moorea","160",-17.48205,-149.82621,"lagoon_water","14:28","5/24/21",0.17,1.1,0.69,0.26,5.58823529411765,0.72,28.54,3.66,39.69,0.841090204281342
"162_LW0521",323,5.00081290779403,39.050353515,"162_LW0521","moorea","162",-17.476,-149.78036,"lagoon_water","10:45","5/23/21",0.15,1.81,0.27,0.41,4.53333333333333,0.68,29,3.56,42.77,0.86554410477311
"163_LW0521",55,3.4779927423782,10.148484941,"163_LW0521","moorea","163",-17.47785,-149.78665,"lagoon_water","11:58","5/23/21",0.17,0.91,0.25,0.21,2.70588235294118,0.68,27.99,3.54,41.05,0.867907054795205
