Site_number,Time,Habitat,Lat,Lon,Coral_sampler,Date,Time,CCAR,CSPI,JUVPAR,SALT,SFRE,SOVI,SPSI,CSPI_JUV,CSPI_SUB,CSPI_ADULT,SPSI_JUV,SPSI_SUB,SPSI_ADULT,PARROT_JUV,PARROT_SUB,PARROT_ADULT,PREDATOR,FISH_TOT
34,10,LAG,-17.58031,-149.79438,TCA,44338,0.625,0,1.4,0,0,0,0,1.1,0,0.1,1.3,0,0.4,0.7,0,0.5,0,0.1,3.1
35,10,FR,-17.58383,-149.79855,TCA,44338,0.663888889,0,1.9,0,0,0,0.3,2.5,0.2,1.5,0.2,0.8,1.4,0.3,1,2.9,1,0,5
36,5,FR,-17.57891,-149.7967,TCA,44338,0.613888889,0,0.4,0,0.2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,1.4
37,10,FR,-17.57349,-149.79429,TCA,44338,0.571527778,0,0.8,0,0,0,0,0.5,0.1,0.5,0.2,0,0.5,0,0.1,1,0.1,0,2.1
38,5,FR,-17.56787,-149.7925,TCA,44338,0.479166667,0,0.6,0,0,0,0,0.4,0,0.6,0,0.4,0,0,0.4,0.6,0.4,0,2
39,10,BA,-17.57239,-149.78833,TCA,44338,0.538194444,0,0.6,0,0,0,0,0.2,0,0,0.6,0,0,0.2,0,0,0,0,1.3
40,10,BA,-17.57567,-149.78853,TCA,44338,0.59375,0,1,0,0.2,0,0.1,2.1,0,0,1,0,1.4,0.7,0,1.4,0,0,4
41,10,BA,-17.57019,-149.78739,TCA,44338,0.515277778,0,1.6,0,0,0,0,1,0,0,1.6,0,0,1,0,0,0,0.1,3.5
42,10,LAG,-17.56927,-149.78966,TCA,44338,0.493055556,0,0.3,0,0,0,0,2.4,0,0,0.3,0.3,0.8,1.3,0.3,0.8,0.3,0,3
43,10,BA,-17.56248,-149.78303,TCA,44338,0.450694444,0,1.8,0,0,0,0,1.4,0,0.1,1.7,0,0.1,1.3,0,0.2,0,0.2,3.7
44,10,LAG,-17.5615,-149.78549,TCA,44338,0.430555556,0,1.2,0.3,0,0,0,0.6,0,0.4,0.8,0.1,0,0.5,0.1,0.4,0.1,0.1,2.5
45,5,FR,-17.56025,-149.7891,TCA,44338,0.420138889,0,4.2,0,0,0,0,1.2,1,1.2,2,1,0.2,0,2,1.4,2,0,5.4
68,5,FR,-17.52007,-149.77383,TCA,44337,0.680555556,0,1,0,0,0,0,0.2,0.2,0.8,0,0,0.2,0,0.2,1,0.2,0,1.8
