"","Abundance","Site_number","Family"
"1",0.646153846153846,"204","Cryomorphaceae"
"2",0.585365853658537,"202","Cryomorphaceae"
"3",0.573260073260073,"90","Cryomorphaceae"
"4",0.556701030927835,"121","Cryomorphaceae"
"5",0.473684210526316,"48","Rhodobacteraceae"
"6",0.465779467680608,"129","Cryomorphaceae"
"7",0.450704225352113,"29","Rhodobacteraceae"
"8",0.45045045045045,"126","Cryomorphaceae"
"9",0.441588785046729,"69","Cryomorphaceae"
"10",0.436548223350254,"107","Rhodobacteraceae"
"11",0.407843137254902,"175","Rhodobacteraceae"
"12",0.394029850746269,"138","Cryomorphaceae"
"13",0.391891891891892,"126","Rhodobacteraceae"
"14",0.387096774193548,"117","Cryomorphaceae"
"15",0.376623376623377,"149","Rhodobacteraceae"
"16",0.375838926174497,"151","Rhodobacteraceae"
"17",0.365217391304348,"156","Cryomorphaceae"
"18",0.364928909952607,"145","Rhodobacteraceae"
"19",0.364372469635628,"Cook's 1","Rhodobacteraceae"
"20",0.364130434782609,"116","Cryomorphaceae"
"21",0.362264150943396,"OPU 1","Rhodobacteraceae"
"22",0.355140186915888,"69","Rhodobacteraceae"
"23",0.345291479820628,"54","Rhodobacteraceae"
"24",0.343283582089552,"154","Rhodobacteraceae"
"25",0.333333333333333,"163","Cryomorphaceae"
"26",0.330827067669173,"89","Cryomorphaceae"
"27",0.329268292682927,"202","Rhodobacteraceae"
"28",0.3248730964467,"107","Cryomorphaceae"
"29",0.323943661971831,"29","Flavobacteriaceae"
"30",0.32,"188","Rhodobacteraceae"
"31",0.31924882629108,"155","Rhodobacteraceae"
"32",0.319078947368421,"176","Cryomorphaceae"
"33",0.315151515151515,"139","Cryomorphaceae"
"34",0.31203007518797,"89","Rhodobacteraceae"
"35",0.307017543859649,"166","Cryomorphaceae"
"36",0.303571428571429,"43","Rhodobacteraceae"
"37",0.302325581395349,"62","Rhodobacteraceae"
"38",0.298850574712644,"83","Flavobacteriaceae"
"39",0.295302013422819,"151","Cryomorphaceae"
"40",0.287912087912088,"204","Rhodobacteraceae"
"41",0.286995515695067,"54","Cryomorphaceae"
"42",0.286567164179104,"138","Rhodobacteraceae"
"43",0.286384976525822,"155","Cryomorphaceae"
"44",0.281984334203655,"210","Rhodobacteraceae"
"45",0.278350515463918,"121","Rhodobacteraceae"
"46",0.278260869565217,"100","Rhodobacteraceae"
"47",0.277566539923954,"129","Rhodobacteraceae"
