"","Site","Month","Year","Latitude","Longitude","Habitat","Lagoon","Distance_to_population_center","Island_shore","Herbivore_total","Corallivore_total","Predator_total","Herbivore_richness","Corallivore_richness","Predator_richness","Observed","Shannon","FaithPD","location","Phosphate","Silicate","Nitrite_plus_Nitrate","Ammonia","N.P","Percent_N","Percent_C","Percent_H","C_to_N","evenness","Site_number"
"1","116","May",2021,-17.49474971,-149.9146039,"Fringing reef","Hauru",4146.16,"SW",8.88888888888889,0.333333333333333,0.222222222222222,2,2,2,43,3.01231654616988,8.823503039,"moorea",0.08,0.72,0.28,0.19,5.875,0.71,26.67,3.45,37.64,0.800892389001325,"116"
"2","121","May",2021,-17.48853084,-149.8968575,"Fringing reef","Hauru",2105.03,"N",23.7,0.4,0,3,2,0,36,2.90855757373332,7.08281779,"moorea",0.15,0.99,0.26,0.49,5,0.62,28.65,3.74,46.19,0.81164844491834,"121"
"3","122","May",2021,-17.48485495,-149.8962351,"Reef pass","Hauru",2147.15,"N",4.9,1.3,0.3,3,2,2,72,3.30905123382993,11.657924095,"moorea",0.11,0.78,0.21,0.48,6.27272727272727,0.69,28.7,3.79,41.3,0.7737455161899,"122"
"4","126","May",2021,-17.49179923,-149.8794897,"Fringing reef","Papetoai",236.37,"N",10.1666666666667,0.5,1.83333333333333,2,1,2,39,3.10613862275017,7.407886538,"moorea",0.06,1.74,0.61,0.39,16.6666666666667,0.6,28.33,3.7,46.9,0.847846692038508,"126"
"5","133","May",2021,-17.49028584,-149.8868992,"Fringing reef","Papetoai",1035.51,"N",7.5,0.2,0.1,2,1,1,109,3.78264272371258,16.371882627,"moorea",0.08,0.87,0.36,0.24,7.5,0.69,30.36,4.13,43.96,0.806301902709296,"133"
"6","139","May",2021,-17.49065096,-149.8681188,"Fringing reef","Papetoai",284.82,"N",2.1,1.8,0.5,2,2,3,132,3.88425286621462,22.096528725,"moorea",0.15,1.11,0.34,0.64,6.53333333333333,0.57,28.03,3.72,49.54,0.795496710248933,"139"
"7","145","May",2021,-17.48966591,-149.8494205,"Fringing reef","Pihaena",1924.49,"N",19.8,0.4,0.3,2,1,1,44,3.05372838779038,9.554196758,"moorea",0.17,1.26,0.46,1.68,12.5882352941176,0.72,28.06,3.62,38.93,0.806970232257746,"145"
"8","147","May",2021,-17.48168911,-149.8498651,"Reef crest","Pihaena",2323.79,"N",12,5.4,0.4,2,2,3,66,3.6019419422651,10.324495439,"moorea",0.15,0.94,0.29,0.62,6.06666666666667,0.7,29.24,3.77,41.81,0.859722856428721,"147"
"9","151","May",2021,-17.47821942,-149.8423604,"Reef crest","Pihaena",3188.64,"N",7,2.2,0.3,3,2,3,37,2.99120140968357,8.120252081,"moorea",0.13,0.9,0.31,0.61,7.07692307692308,0.74,28.62,3.66,38.49,0.828377017159372,"151"
"10","153","May",2021,-17.4784169,-149.8339808,"Reef crest","Pihaena",3439.4,"N",3.9,2.6,0.2,2,2,2,83,3.86841052113114,13.237807565,"moorea",0.14,0.93,0.38,0.64,7.28571428571429,0.7,27.16,3.47,38.71,0.87543563221215,"153"
