"","Site_number","Time","Habitat","Lat","Lon","Coral_sampler","Date","Time.1","CCAR","CSPI","JUVPAR","SALT","SFRE","SOVI","SPSI","CSPI_JUV","CSPI_SUB","CSPI_ADULT","SPSI_JUV","SPSI_SUB","SPSI_ADULT","PARROT_JUV","PARROT_SUB","PARROT_ADULT","PREDATOR","FISH_TOT","Weight_ug","Percent_C","Percent_H","Percent_N","C_to_N_ratio"
"1","114",10,"BA",-17.49546,-149.92357,"TCA",44340,0.385416667,0,1.9,0.2,0,0,0,2.6,0.7,1,0.2,0.5,1.4,0.7,1.2,2.4,1.2,0.2,4.9,2437,30.13,4.14,0.5,60.35
"2","115",5,"LAG",-17.49504,-149.91971,"TCA",44340,0.404166667,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,2600,29.16,3.92,0.61,47.89
"3","116",9,"FR",-17.49475,-149.9146,"TCA",44340,0.416666667,0,0.666666667,0,0,0,0,1.111111111,0.333333333,0.222222222,0.111111111,0.444444444,0.444444444,0.222222222,0.777777778,0.666666667,0.777777778,0,2.333333333,2567,26.67,3.45,0.71,37.64
"4","118",10,"FR",-17.48915,-149.90675,"TCA",44340,0.472222222,0,3.5,0,0,0,0.2,3.2,2.5,0.7,0.3,1.1,1.7,0.4,3.6,2.4,3.6,0,7,2041,25.9,3.32,0.88,29.27
"5","119",10,"BA",-17.48592,-149.90779,"TCA",44340,0.444444444,0,2.7,0.3,0,0,0.3,0.5,0.9,0.4,1.4,0.2,0,0.3,1.1,0.4,1.1,0,4,2897,27.65,3.61,0.61,45.02
"6","120",10,"LAG",-17.48791,-149.90225,"TCA",44340,0.4875,0,0.8,0,0,0,0,1.9,0.2,0.4,0.2,0.4,1,0.5,0.6,1.4,0.6,0,3.4,3231,28.79,3.77,0.72,39.72
"7","121",10,"LAG",-17.48853,-149.89686,"TCA",44340,0.505555556,0,2.1,0,0,0,0.1,3.3,1,1.1,0,2,1.1,0.2,3,2.2,3,0,5.8,3101,28.65,3.74,0.62,46.19
"8","122",10,"BA",-17.48485,-149.89624,"TCA",44340,0.522222222,0.1,1.4,0,0,0,0,1.7,0.3,0.9,0.2,0.3,0.5,0.9,0.6,1.4,0.6,0.3,4,2259,28.7,3.79,0.69,41.3
"9","123",10,"FR",-17.48895,-149.89129,"TCA",44340,0.552083333,0,0.7,0.2,0,0,0.3,2.2,0.4,0.3,0,1.5,0.7,0,1.9,1,1.9,0,3.6,2177,30.41,4.15,0.53,56.85
"10","126",6,"FR",-17.4918,-149.87949,"TCA",44340,0.6625,0,2,0,0,0,0,1.333333333,1,0.666666667,0.333333333,0.833333333,0.5,0,1.833333333,1.166666667,1.833333333,0.166666667,3.833333333,2144,28.33,3.7,0.6,46.9
"11","127",10,"LAG",-17.48897,-149.87898,"TCA",44340,0.643055556,0,1,0,0,0,0.1,2.6,0.6,0.4,0,0.8,1.8,0,1.4,2.2,1.4,0,4.2,2032,29.99,4.09,0.47,63.8
"12","133",10,"FR",-17.49029,-149.8869,"TCA",44340,0.59375,0,3.1,0.2,0,0,0,1.8,1.3,1.7,0.1,0.5,1.3,0,1.8,3,1.8,0.1,5.3,2494,30.36,4.13,0.69,43.96
"13","134",10,"LAG",-17.48733,-149.88701,"TCA",44340,0.572222222,0,3.1,0,0,0,0.4,1.7,1.1,1.7,0.3,0.6,1.1,0,1.7,2.8,1.7,0.3,6.1,2463,29.65,3.97,0.69,42.72
"14","136",10,"LAG",-17.4869,-149.88057,"TCA",44340,0.625,0,3.5,0.2,0,0,0,0.5,2.2,0.9,0.4,0.2,0,0.3,2.4,0.9,2.4,0,4.6,2435,28.86,3.89,0.66,43.76
"15","139",10,"LAG",-17.49065,-149.86812,"KES",44341,0.557638889,0,1.1,0,0,0,0,0.8,0,0.1,1,0.1,0.1,0.6,0.1,0.2,0.1,0.2,2.9,2632,28.03,3.72,0.57,49.54
"16","145",10,"FR",-17.48967,-149.84942,"KES",44342,0.538194444,0,1.3,0,0,0,0,4.2,0.4,0.9,0,1.9,2,0.3,2.3,2.9,2.3,0,6.2,2605,28.06,3.62,0.72,38.93
"17","146",6,"FR",-17.48546,-149.84699,"KES",44342,0.525694444,0,4.333333333,0,0,0,0,3.666666667,1.666666667,1.666666667,1,2.166666667,1.333333333,0.166666667,3.833333333,3,3.833333333,0,8,2765,30.12,3.95,0.68,44.49
"18","147",10,"BA",-17.48169,-149.84987,"KES",44342,0.488888889,0,1.9,0,0,0,0,2.3,0.1,1,0.8,0.1,0.8,1.4,0.2,1.8,0.2,0.4,5,2209,29.24,3.77,0.7,41.81
"19","148",10,"LAG",-17.48387,-149.84902,"KES",44342,0.509027778,0,4.5,0.7,0,0.1,0,1,3.7,0.3,0.5,0.6,0.2,0.2,4.3,0.5,4.3,0,6.8,2207,29.4,3.76,0.63,46.31
"20","151",10,"BA",-17.47822,-149.84236,"KES",44342,0.465972222,0.1,3,0,0,0,0,1.2,0.1,1.6,1.3,0.1,0.8,0.3,0.2,2.4,0.2,0.1,4.9,2694,28.62,3.66,0.74,38.49
"21","152",10,"LAG",-17.4801,-149.84228,"KES",44342,0.449305556,0.1,4.1,0.3,0,0,0,0.6,1.1,2.1,0.9,0.3,0.1,0.2,1.4,2.2,1.4,0.1,5.7,2141,28.4,3.62,0.7,40.74
"22","153",10,"BA",-17.47842,-149.83398,"KES",44342,0.428472222,0,2.8,0,0,0,0,1,0,1.2,1.6,0.2,0.3,0.5,0.2,1.5,0.2,0.1,4.3,2202,27.16,3.47,0.7,38.71
"23","161",10,"FR",-17.47371,-149.77685,"TCA",44339,0.428472222,0,1.6,0,0.1,0,0.2,1.7,0.2,0.6,0.8,0.3,0.4,1,0.5,1,0.5,0,3.8,3041,27.62,3.56,0.7,39.35
"24","162",10,"FR",-17.476,-149.78036,"TCA",44339,0.447916667,0,1.5,1.1,0,0,0.2,1.1,0.4,0.9,0.2,0.5,0.4,0.2,0.9,1.3,0.9,0.1,4.2,2130,29,3.56,0.68,42.77
