"","100_LW0521","102_LW0521","105_LW0521","107_LW0521","116_LW0521","117_LW0521","121_LW0521","122_LW0521","126_LW0521","128_LW0521","129_LW0521","130_LW0521","131_LW0521","133_LW0521","137_LW0521","138_LW0521","139_LW0521","140_LW0521","142_LW0521","143_LW0521","144_LW0521","145_LW0521","147_LW0521","149_LW0521","151_LW0521","153_LW0521","154_LW0521","155_LW0521","156_LW0521","157_LW0521","160_LW0521","162_LW0521","163_LW0521","165_LW0521","166_LW0521","167_LW0521","168_LW0521","169_LW0521","170_LW0521","172_LW0521","173_LW0521","175_LW0521","176_LW0521","178_LW0521","179_LW0521","180_LW0521","188_LW0521","201_LW0521","202_LW0521","204_LW0521","205_LW0521","206_LW0521","208_LW0521","209_LW0521","210_LW0521","29_LW0521","38_LW0521","39_LW0521","40_LW0521","41_LW0521","42_LW0521","43_LW0521","48_LW0521","50_LW0521","51_LW0521","52_LW0521","53_LW0521","54_LW0521","55_LW0521","56_LW0521","57_LW0521","59_LW0521","62_LW0521","64_LW0521","65_LW0521","69_LW0521","79_LW0521","81_LW0521","83_LW0521","84_LW0521","85_LW0521","87_LW0521","89_LW0521","90_LW0521","91_LW0521","93_LW0521","cooks-1_LW0521","OPU-1_LW0521","OPU-2_LW0521"
"953d94c1055ba9d9764979c78def46e2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"a07f2d1afaa2234ae37d6c654c6c510a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3f59f41095010dba6fe6e77c9f3b1450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"8833d22f66db2924049890accefbe645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5cb605bc82be8563b9c5073611253a8c",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34d8bfa6a6b26e0ab5d67203242d7e93",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1e56c0e9890575b9afc90973d96767c1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a2eb040d281ce8d15d186749165db57c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44e59a762fd7d94fc90992501ec8f970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94d49bc1736901b600027971eddf3123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
