"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"baaa0244b972d29cf33b896a45546dc7","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"90c2e68b1dfa03cf71004a9fc6177fe9","Bacteria",NA,NA,NA,NA,NA,NA
"ab1ca96ba1f9c1054fce584a3c4cff71","Bacteria",NA,NA,NA,NA,NA,NA
"5d63fb50161fa9664b1b63350fbc432f","Bacteria",NA,NA,NA,NA,NA,NA
"671d863e740465fc42edb3d122f82537","Bacteria",NA,NA,NA,NA,NA,NA
"5de02a4aa61d0f96a6513191a4d00a7e","Bacteria",NA,NA,NA,NA,NA,NA
"69c6701f8e50c839686c12b9c96abe69","Bacteria",NA,NA,NA,NA,NA,NA
"5a203ecfc3d162f043b31a477ca418ad","Bacteria",NA,NA,NA,NA,NA,NA
"8cf952402f07ffa628bc72e4268d6968","Bacteria",NA,NA,NA,NA,NA,NA
"e7b2cc812f035947e10b686c9cbfab6a","Bacteria",NA,NA,NA,NA,NA,NA
"c893aa2cce279d84ce00e0f0ba244f99","Bacteria",NA,NA,NA,NA,NA,NA
"5933770da3fec8f291f945f618758c2c","Bacteria",NA,NA,NA,NA,NA,NA
"970af9c04abc45c7085cac60bbe6f9ed","Bacteria",NA,NA,NA,NA,NA,NA
"1662e2496cffc3faa0ca65239b59fe7e","Bacteria",NA,NA,NA,NA,NA,NA
"16b3e696daa854c35d2a5814ea153ba6","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"72f200ed432f7b02760e1aadf5210050","Bacteria",NA,NA,NA,NA,NA,NA
"24ca4d3b1e60ad624d6d6dfdcd5a942a","Bacteria",NA,NA,NA,NA,NA,NA
"3df7837af6833a2a3993997a0e6c5e32","Bacteria",NA,NA,NA,NA,NA,NA
"b7b183c58c685b3e019d85373ebad948","Bacteria",NA,NA,NA,NA,NA,NA
"6fea6c250c173bc656447b75703d8146","Bacteria",NA,NA,NA,NA,NA,NA
"e3ecc5f489a436758de8187794ea04c7","Bacteria",NA,NA,NA,NA,NA,NA
"8ff2d097c62b97862cd198c4f20b8ddd","Bacteria",NA,NA,NA,NA,NA,NA
