Unique_id,Site,Year,TimePeriod,dN15,Percent_N,Percent_C,C_to_N_ratio,Phosphate,Silicate,Nitrite_plus_Nitrate,Ammonia,Date,Time,Latitude,Longitude,Distance_to_crest,Distance_to_shore,Distance_to_pass,Distance_to_deep_lagoon_water,Distance_to_population_center,Population_center,Island_shore,Habitat,Lagoon,Microbial_PCoA_Axis1,Microbial_Species_Richness,Microbial_Evenness,Ultra.Violet.Humic.like,Tyrosine.like,Visible.Humic.like,Marine.Humic.like,Tryptophan.like,Lignin.like,M.C,HIX,BIX,FI,FishNH4_l_min_m2,FishBiom_g_m2
id_1,1,2016,2016-July,11.81,0.45,NA,NA,NA,NA,NA,NA,NA,NA,-17.58796058,-149.850116,843.22,195.02,1000.3299999999999,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41977521165597803,7.031466662715283
id_2,1,2016,2016-May,3.77,0.68,NA,NA,NA,NA,NA,NA,NA,NA,-17.58796058,-149.850116,843.22,195.02,1000.3299999999999,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41977521165597803,7.031466662715283
id_3,1,2016,2016-January,2.38,0.43,NA,NA,NA,NA,NA,NA,NA,NA,-17.58796058,-149.850116,843.22,195.02,1000.3299999999999,220.27,195.02,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41977521165597803,7.031466662715283
id_4,2,2016,2016-July,7.96,0.43,NA,NA,NA,NA,NA,NA,NA,NA,-17.59042955,-149.8513141,553.98,506.75,809.65,250,506.75,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4594695715908492,8.13817648806909
id_5,2,2016,2016-May,3.73,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.59042955,-149.8513141,553.98,506.75,809.65,250,506.75,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4594695715908492,8.13817648806909
id_6,2,2016,2016-January,2.38,0.34,NA,NA,NA,NA,NA,NA,NA,NA,-17.59042955,-149.8513141,553.98,506.75,809.65,250,506.75,Vai'anae/Atiha,SW,Mid lagoon,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4594695715908492,8.13817648806909
id_7,3,2016,2016-July,6.65,0.52,NA,NA,NA,NA,NA,NA,NA,NA,-17.59052703,-149.861271,307.21999999999997,1164.85,1707.27,290.83,1164.85,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8917968307410538,15.450020429839386
id_8,3,2016,2016-May,3.71,0.49,NA,NA,NA,NA,NA,NA,NA,NA,-17.59052703,-149.861271,307.21999999999997,1164.85,1707.27,290.83,1164.85,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8917968307410538,15.450020429839386
id_9,3,2016,2016-January,3.36,0.45,NA,NA,NA,NA,NA,NA,NA,NA,-17.59052703,-149.861271,307.21999999999997,1164.85,1707.27,290.83,1164.85,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8917968307410538,15.450020429839386
id_10,4,2016,2016-July,4.69,0.54,NA,NA,NA,NA,NA,NA,NA,NA,-17.58473849,-149.8584346,968.8599999999999,664.71,1788.31,203.81,664.71,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27188172309865605,4.8484267724096926
id_11,4,2016,2016-May,2.99,0.41,NA,NA,NA,NA,NA,NA,NA,NA,-17.58473849,-149.8584346,968.8599999999999,664.71,1788.31,203.81,664.71,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27188172309865605,4.8484267724096926
id_12,4,2016,2016-January,2.66,0.44,NA,NA,NA,NA,NA,NA,NA,NA,-17.58473849,-149.8584346,968.8599999999999,664.71,1788.31,203.81,664.71,Vai'anae/Atiha,SW,Fringing reef,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27188172309865605,4.8484267724096926
id_13,5,2016,2016-July,9.27,0.47,NA,NA,NA,NA,NA,NA,NA,NA,-17.58509698,-149.8672942,205.62,1171.22,1732.1499999999999,450.97,1610.76,Vai'anae/Atiha,SW,Reef crest,Vaianae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7255754653259993,12.88687961911511
