SampleName,TotalRU,M:C,BIX,HIX,FI,UltraVioletHumic-like,MarineHumic-like,VisibleHumic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,Lignin-like,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,PARAFAC5,PARAFAC6
1,26.53500668,1.218394935,0.764862026,0.822242503,1.799810609,0.00992716,0.011128298,0.009133572,0.022016804,0.022415735,0.016124868,0.017116524,0.024107626,0.00939934,0.010076912,0.007463971,0.0077543,0.012569015
2,17.13750069,1.514720409,0.824416867,0.69081697,1.814903123,0.006034924,0.007191637,0.004747831,0.012507304,0.007370588,0,0.011747751,0.009027335,0.00628679,0.003190916,0.001752126,0.004059353,0.019236115
3,22.05799732,1.825637071,0.918283679,0.405338858,1.784164404,0.006794827,0.009224386,0.005052694,0.025680258,0.021706116,0.003148225,0.010654615,0.026073521,0.008607932,0.003674617,0.005361135,0.00269141,0.00771546
4,20.94768345,1.601714122,0.73854204,0.492455082,1.665299365,0.007052061,0.008656829,0.005404728,0.022148679,0.020212955,0,0.023460785,0.020899995,0.006875398,0.006109979,0.00613054,0.003922289,0.017150031
5,29.18228336,1.452917141,1.029781439,0.618622114,1.689626063,0.0091091,0.012046041,0.008290935,0.032596516,0.022284994,0.000191071,0.013084508,0.029711807,0.010440346,0.014390288,0.007300107,0.006434583,0.014196971
6,18.51831546,1.787538521,0.77111819,0.478285856,1.204958132,0.005648715,0.007296134,0.004081666,0.017126183,0.006968854,0,0,0.016107394,0.006266014,0.003165442,0.001606922,0.003189923,0.009608991
7,25.29037406,1.286164418,0.877994599,1.098101122,1.628755192,0.010115907,0.011929275,0.009275078,0.02136666,0.01134186,0,0.007194491,0.018843087,0.010301245,0.002087741,0.011657378,0.008000356,0.015238639
8,17.37241911,1.594821069,0.701631811,0.544071206,1.635401539,0.007696034,0.008975038,0.005627615,0.014762458,0.003389053,0,0.012448475,0.013558964,0.007814059,0.012872581,0.006405826,0.003585311,0.007611552
9,27.36504099,1.606920698,0.91595402,0.530576265,1.601756695,0.010502643,0.014852732,0.009242978,0.037136906,0.020077358,0,0.024465354,0.035259071,0.012778405,0.011326474,0.009652192,0.005424972,0.015453555
10,12.47701061,1.811789056,0.410492582,0.414914165,1.856158561,0.005694548,0.007162687,0.003953378,0.011086273,0,0,0.007558664,0.010589821,0.005342854,0.014668895,0.000536217,0.003227171,0.002942411
11,36.23210051,1.387983322,0.769531457,0.969554959,1.496675388,0.015909847,0.018080567,0.013026502,0.025355074,0.016987508,0.000254806,0.024931221,0.025370157,0.016860722,0.024459062,0.018321161,0.00967579,0.006834242
13,42.85636382,1.235137308,0.875977013,1.120305724,1.643854131,0.015713354,0.019328792,0.015649104,0.03645152,0.023335802,0.004052713,0.019975474,0.036418483,0.01831444,0.004242439,0.029030723,0.010303111,0.021815092
14,18.8380204,1.658004116,0.46970272,0.243107278,1.976788422,0.008343216,0.008945437,0.005395305,0.018447885,0.006127044,0.010402909,0.015429297,0.016598085,0.007177609,0.060431839,0,0.003745996,0.000598266
15,25.00383021,1.609488346,0.675906006,0.474898524,1.653799469,0.008591539,0.011011436,0.006841575,0.025000905,0.014150736,0,0.024771841,0.026856498,0.009087271,0.007583901,0.006707082,0.0046138,0.010828051
16,23.71380119,1.370846866,0.632763815,1.404060228,1.583525152,0.011929513,0.013748147,0.010028945,0.01496707,0.013212894,0.002623021,0.016675971,0.014771028,0.012540241,0.003789053,0.013755605,0.008688402,0.012739722
17,19.74265535,1.678533023,0.626533089,1.047752552,1.534566489,0.009709338,0.0124829,0.007436791,0.030423707,0.021802167,0.005195358,0.010048782,0.020715826,0.010868626,0,0.009539187,0.005575299,0.003256098
19,60.54019631,1.633453406,1.09797735,1.10481761,1.585789558,0.034887147,0.049372326,0.030225733,0.074547482,0.036884102,0.02173811,0.052428164,0.062123136,0.046251611,0.014768576,0.055369262,0.015097335,0.058867959
20,19.00553766,1.557537577,0.565300001,0.324811422,1.688242561,0.005391887,0.006616546,0.004248081,0.009955421,0.011997628,0.002376388,0,0.014216719,0.005379759,0.015843477,0,0.002995885,0
21,15.14095556,1.384902172,0.586953597,0.537479641,1.548411207,0.005708986,0.006954929,0.005021964,0.016540642,0.009166067,0,0.004153949,0.017474559,0.006205765,0.010021565,0.002078973,0.003726123,0
22,16.31974738,1.840241736,0.603791795,0.360489212,1.583200143,0.005601525,0.007608903,0.00413473,0.016319236,0.018114234,0.017947205,0.003327047,0.020338755,0.006010956,0.01184052,6.02262E-05,0.003286286,0.001384589
24,15.88061745,1.29511026,0.808147146,0.850786319,1.453706026,0.007161034,0.009021724,0.006965989,0.014424867,0,0,0,0.014971532,0.007972943,0.004044796,0.005589112,0.005307967,0.004568285
25,14.52088821,1.596709599,0.553362436,0.562704336,1.695325747,0.006571149,0.008045571,0.005038845,0.015348208,0.010334161,0.013456491,0,0.017732155,0.006791338,0.013353556,0.00811555,0.003115053,0
26,16.79348666,1.609151245,0.681526541,0.600059522,1.592897626,0.007648033,0.009980178,0.006202138,0.019589699,0.014583811,0.005900833,0.002423966,0.023437318,0.008607547,0.013957173,0.007374995,0.004403426,0.002535989
27,22.71114283,1.662141083,0.529626727,0.385975866,1.78025333,0.007489943,0.009116793,0.005484969,0.026981561,0.034554658,0.004928922,0.030666048,0.031365153,0.007953528,0.020430269,0.005465433,0.002874752,0.00547578
28,15.54685074,1.60159381,0.555992567,0.257269156,1.87403518,0.004509658,0.006077856,0.00379488,0.017042264,0.013893289,0,0,0.021309627,0.004989226,0.01843398,0.005423171,0.001918107,0.001267868
29,18.3663448,2.470179678,0.663948672,0.397092475,1.38228933,0.006270762,0.010787192,0.004366966,0.019454974,0.019275774,0.00145539,0.011600256,0.023091277,0.008817806,0.021723699,0.00409333,0.002751465,0
30,14.68873023,1.728725657,0.60135665,0.319256681,2.027286049,0.004853534,0.006345479,0.003670611,0.015239781,0.018971698,0,0.003780159,0.020543961,0.005061605,0.01627064,0.004045372,0.002426768,0
31,14.41717571,1.654801204,0.546122499,0.402821248,1.627132021,0.005017723,0.006560992,0.003964822,0.013007462,0.010089727,0.003579442,0.003706137,0.017856801,0.0058704,0.008064862,0.005049362,0.002537307,0
32,27.985139,1.448389286,0.829631283,0.408228204,1.839213193,0.006923925,0.008152443,0.005628627,0.021751235,0.038197414,0.008398767,0.014538617,0.026843764,0.007690914,0.02483305,0.010244466,0.003316091,0.007642399
34,24.0137677,1.691191838,0.844461929,0.347828736,1.392768677,0.008375394,0.011352937,0.00671298,0.030742302,0.038763515,0.025474102,0.004228708,0.035752176,0.009847667,0.034481346,0.010587128,0.003075039,0.003535392
35,28.96625365,1.531032368,0.739638146,0.566175198,1.452456897,0.008237549,0.011063578,0.007226221,0.020048972,0.032922503,0,0.025234216,0.024177747,0.009903945,0.019897778,0.011788065,0.004710762,0.011301404
36,35.90776743,1.333958876,0.646722443,0.52164143,1.537628984,0.014257524,0.015357032,0.011512373,0.031157063,0.032987898,0.020443805,0.015124501,0.029588519,0.014663788,0.06850546,0.020422458,0.007378738,0.007259355
37,29.75486754,1.47081583,0.722356876,0.490019852,1.529240787,0.010060148,0.01196,0.008131541,0.026169799,0.043451614,0.014356552,0.01980029,0.029762656,0.01104955,0.029485841,0.012904779,0.004081265,0.006091093
38,30.44488789,1.461920822,0.75295006,0.401326886,1.585828977,0.010114953,0.011911247,0.008147669,0.030791154,0.035386902,0,0.018530106,0.034487144,0.011341903,0.057986155,0.011625968,0.005087033,0.000528164
39,32.69343297,1.619736376,0.714534149,0.335682188,1.572719906,0.011488308,0.012715799,0.007850536,0.031765594,0.040119937,0.01113807,0.01753755,0.029750072,0.011804684,0.08663953,0.010076395,0.004046293,0
40,24.8246786,1.589939531,0.786503376,0.623439281,1.547630833,0.009145139,0.01203312,0.007568288,0.020217454,0.027527572,0.009952738,0.02796825,0.022333275,0.011182304,0.024515967,0.014016708,0.004712665,0.007305443
41,32.24477943,1.501731487,0.828308125,0.362558587,1.498586967,0.009589228,0.011517702,0.007669615,0.035192482,0.045116209,0.000755229,0.021998531,0.037534158,0.010320137,0.043002508,0.010848949,0.003982662,0.012116804
42,26.11170201,1.608665571,0.648150382,0.53774491,1.472551369,0.011253813,0.012265076,0.007624379,0.026529972,0.042004534,0.007964063,0.041145597,0.0267867,0.011315112,0.034527029,0.013227427,0.004316529,0.012452345
43,22.75096627,1.649328888,0.739584711,0.378343809,1.536066141,0.00701749,0.00823871,0.004995189,0.020420519,0.030257456,0.024771649,0.022079449,0.027155374,0.007397323,0.022040254,0.008003893,0.00269329,0.003716732
44,23.65293731,1.537401973,0.629635922,0.542145301,1.410700435,0.008685297,0.010503971,0.006832287,0.023355786,0.034682631,0.025073024,0.031895476,0.025691122,0.009564211,0.018048691,0.01245792,0.003660276,0.010467531
45,28.16605384,1.654198862,0.771875375,0.533741864,1.394655868,0.00856599,0.011578448,0.006999429,0.029226272,0.050330604,0.000341805,0.009161596,0.032185099,0.01039223,0.02339885,0.014923755,0.003573183,0.006072451
46,22.34762122,1.438382879,0.748545433,0.649006618,1.534909579,0.008475899,0.010085532,0.007011716,0.022050893,0.0365272,0.001995082,0.018950185,0.025127925,0.009859286,0.013616682,0.015146913,0.003411897,0.008669701
47,20.07377346,1.311210613,0.668868733,0.671633319,1.875572532,0.008560549,0.009695101,0.007394007,0.020666115,0.026083519,0.002447112,0.028714869,0.022488998,0.00953078,0.016471103,0.017726506,0.003639361,0.007525164
48,25.70710478,1.841361371,0.831257856,0.364863984,1.537547772,0.007436546,0.011249332,0.006109247,0.026828383,0.038570807,0.00705284,0.015104973,0.034026253,0.01001838,0.022358438,0.012845213,0.002775897,0
50,16.82110604,1.702393202,0.800367918,0.467866485,1.662981815,0.006459024,0.008748758,0.005139094,0.017660692,0.032132503,0,0.018365904,0.024012068,0.008095855,0.006471156,0.012635745,0.002099288,0.003900026
51,20.84456794,1.423677428,0.703789067,0.53075516,1.816342339,0.008469925,0.010751858,0.007552173,0.018719371,0.031418282,0.01442615,0.033908614,0.023381345,0.009497235,0.018168204,0.016701904,0.003904402,0.008159327
52,29.74144344,1.491280841,0.779498126,0.379858448,1.663878624,0.011265983,0.01414746,0.009486785,0.037819271,0.037654376,0.01675122,0.033146541,0.043707525,0.012765944,0.036872108,0.01707575,0.004591094,0.007991204
53,39.58990822,1.052480627,0.927640938,0.851433775,1.669163294,0.014324056,0.016416548,0.015597957,0.030337636,0.02098804,0.018388526,0.035676937,0.031035609,0.016584137,0.027848191,0.024395778,0.01125008,0.014440874
54,25.06113936,1.330755816,0.684419433,0.634698083,1.718822435,0.010526101,0.012473205,0.009373023,0.023274071,0.02892133,0.0122998,0.036178259,0.027219455,0.010852717,0.022140247,0.016483849,0.005765378,0.010582555
55,31.18219744,1.228920417,0.803526284,0.8103557,1.732252899,0.014388283,0.015849168,0.012896822,0.030828495,0.023720988,0.010514191,0,0.033157244,0.01641468,0.023114692,0.026912642,0.007752756,0
56,30.73820662,1.662841782,0.674161789,0.335130565,1.636603225,0.007180749,0.009331391,0.005611713,0.022494637,0.042678003,0.029986116,0,0.030855564,0.007907653,0.036977808,0.010396605,0.003145308,0
57,44.96543901,1.924302873,0.604810026,0.371666033,1.68419793,0.008391329,0.011382768,0.005915268,0.022230959,0.08275572,0.026752502,0.009940399,0.033113207,0.010608,0.028003961,0.013835095,0.002875179,0
